SRNO,REGIONAL CENTRE,AI-CODE AND NAME,TOTAL STUDENTS UPLOADED TMA,TOTAL TMA UPLOADED,TOTAL ALLOCATED SUBJECTS,TOTAL UN-ALLOCATED SUBJECTS,TOTAL EVALUATED SUBJECTS,TOTAL ALLOCATED UN-EVALUATED SUBJECTS,PRE-ALLOCATED,PRE-EVALUATED
619,105-CHANDIGARH,050612-Vishwas Nav Sharda Public School,37,158,158,0,158,0,100,100
620,109-JAIPUR,170381-SHIV BAL VIDYA MANDIR SR. SEC. SCHOOL,31,158,158,0,158,0,100,100
621,115-BHUBANESWAR,410130-410130-Brajamohan High School,33,157,139,18,105,34,88.54,66.88
622,105-CHANDIGARH,M16042-St. Soldier Inter. Convent School,32,157,157,0,137,20,100,87.26
623,118-GANDHINAGAR,390082-SUNGRACE VIDHYALAYA,33,157,157,0,144,13,100,91.72
624,105-CHANDIGARH,050450-Arya Senior Secondary School,35,157,157,0,124,33,100,78.98
625,106-KOCHI,M40006-Ai-ameen College,32,157,157,0,76,81,100,48.41
626,105-CHANDIGARH,160078-Jawahar Navodaya Vidyalaya,34,155,155,0,103,52,100,66.45
627,104-GUWAHATI,200010-Kendriya Vidyalaya,41,155,155,0,148,7,100,95.48
628,107-DELHI,270494-U.S.M. Public Sr.Sec. School,29,155,155,0,155,0,100,100
629,123-GANGTOK,220030-Nepali Girls Social Service Centre,28,155,154,1,153,1,99.35,98.71
630,106-KOCHI,M09097-Hsm Higher Secondary School,31,155,155,0,73,82,100,47.1
631,109-JAIPUR,170219-Miranda Secondary School,29,155,155,0,155,0,100,100
632,114-DEHRADUN,340270-Govt. Inter College,32,154,154,0,154,0,100,100
633,104-GUWAHATI,M13019-Nabhajyoti Paham G/A Hr. Sec. School,31,154,154,0,120,34,100,77.92
634,115-BHUBANESWAR,150199-KALINGA INSTITUTE OF SOCIAL SCIENCES (KISS),33,154,119,35,81,38,77.27,52.6
635,114-DEHRADUN,340191-Dayanand Inter College,32,153,153,0,122,31,100,79.74
636,113-BHOPAL,100053-Saraswati Hr. Sec. School Gondkala,34,153,153,0,153,0,100,100
637,103-KOLKATA,230011-Govt. Senior Secondary School,29,153,102,51,0,102,66.67,0
638,103-KOLKATA,220125-Boon English School,30,152,0,152,0,0,0,0
639,109-JAIPUR,170419-Baldev Public Sr. Sec. School,30,152,152,0,152,0,100,100
640,105-CHANDIGARH,050404-Spring Daisy Convent School,32,152,151,1,151,0,99.34,99.34
641,121-CHENNAI,M19103-Al Hira Model School,34,151,151,0,151,0,100,100
642,107-DELHI,270556-Evergreen Public School,32,149,149,0,149,0,100,100
643,104-GUWAHATI,140015-Eastern School,34,149,149,0,149,0,100,100
644,114-DEHRADUN,210237-Amorha Muslim Girls Inter College,35,149,0,149,0,0,0,0
645,114-DEHRADUN,210174-AMAR SHAHEED MEMORIAL INTER COLLEGE,34,148,148,0,147,1,100,99.32
646,107-DELHI,270457-Rani Public School,34,148,148,0,126,22,100,85.14
647,114-DEHRADUN,210207-Naveen Kumar Bharti Shishu Upwan Inter College,36,147,147,0,147,0,100,100
648,103-KOLKATA,220103-Budge Budge St. Pauls Day School,29,146,0,146,0,0,0,0
649,103-KOLKATA,220044-Kendriya Vidyalaya,33,146,0,146,0,0,0,0
650,105-CHANDIGARH,050407-A. Xavier's International School,29,145,143,2,27,116,98.62,18.62
651,120-RANCHI,260001-Indian School Of Learning,34,145,145,0,145,0,100,100
652,107-DELHI,270519-Upadhyay Convent School,31,144,144,0,59,85,100,40.97
653,102-PUNE,280001-Pope John Xxiii High School,26,144,144,0,144,0,100,100
654,115-BHUBANESWAR,150031-Kendriya Vidyalaya,29,144,143,1,115,28,99.31,79.86
655,106-KOCHI,M09104-HAIL MARY ENGLISH MEDIUM Resi. HS School,32,144,144,0,142,2,100,98.61
656,114-DEHRADUN,210558-Jain Academy,27,144,144,0,144,0,100,100
657,105-CHANDIGARH,160135-G.G.S. Public Sr.Sec. School,32,144,144,0,128,16,100,88.89
658,105-CHANDIGARH,M16116-GOLDEN PUBLIC SCHOOL,30,143,143,0,143,0,100,100
659,105-CHANDIGARH,050367-Shiksha Bharti Vidya Niketan,32,143,143,0,117,26,100,81.82
660,113-BHOPAL,"M10066-Annie Besant Higher Sec School,",32,142,116,26,0,116,81.69,0
661,109-JAIPUR,170081-Children Sr. School,37,142,133,9,105,28,93.66,73.94
662,102-PUNE,280003-Copuchin Friars Minor Society,26,142,141,1,120,21,99.3,84.51
663,125-JAMMU,070029-Jawahar Navodaya Vidyalaya,33,141,141,0,97,44,100,68.79
664,107-DELHI,270506-C.M. MODEL SCHOOL,30,140,134,6,134,0,95.71,95.71
665,109-JAIPUR,M17091-Jametur Hidaya,30,140,140,0,130,10,100,92.86
666,120-RANCHI,260030-Ramakrishna Mission Ashrama,29,140,140,0,140,0,100,100
667,111-ALLAHABAD/PRAYAGRAJ,M21606-Sri Vardhaman Inter College,27,140,140,0,140,0,100,100
668,107-DELHI,050019-Kendriya Vidyalaya No. 1,33,140,0,140,0,0,0,0
669,123-GANGTOK,180015-Govt. Senior Secondary School,32,139,139,0,135,4,100,97.12
670,106-KOCHI,090056-Kendriya Vidyalaya,35,139,139,0,134,5,100,96.4
671,111-ALLAHABAD/PRAYAGRAJ,210303-Janta Inter College,28,138,138,0,138,0,100,100
672,114-DEHRADUN,340311-Ambition Public Sr.Sec. School,32,138,138,0,138,0,100,100
673,120-RANCHI,260075-Vidya Vihar Girls High School,31,137,136,1,136,0,99.27,99.27
674,107-DELHI,270302-Indra Prastha Convent Sr.sec.school,28,137,137,0,137,0,100,100
675,118-GANDHINAGAR,040099-S S School of Science,28,137,137,0,122,15,100,89.05
676,107-DELHI,270461-M.N.B. Modern Secondary School,33,137,136,1,134,2,99.27,97.81
677,118-GANDHINAGAR,040054-Maruti High School,24,137,137,0,111,26,100,81.02
678,105-CHANDIGARH,M16044-Kirpal Sagar Academy,28,137,137,0,137,0,100,100
679,107-DELHI,270468-Sky Hawk International School,29,137,64,73,18,46,46.72,13.14
680,118-GANDHINAGAR,390053-Gracious English,28,136,136,0,136,0,100,100
681,107-DELHI,270537-Tyagi Public School,27,136,136,0,129,7,100,94.85
682,105-CHANDIGARH,050046-Saini Sr.sec.school,27,136,136,0,136,0,100,100
683,109-JAIPUR,170243-Govt. Sardar Hr. Secondary School,29,136,134,2,126,8,98.53,92.65
684,104-GUWAHATI,M13016-St.xavier's Secondary School,29,135,135,0,129,6,100,95.56
685,120-RANCHI,260046-D A V Kapildev Public School,32,135,0,135,0,0,0,0
686,103-KOLKATA,220078-Vidya Niketan,29,135,66,69,0,66,48.89,0
687,109-JAIPUR,170242-Shahid Amit Bhardwaj Govt. Senior,30,134,134,0,129,5,100,96.27
688,114-DEHRADUN,340249-Janki Children Academy,29,134,131,3,118,13,97.76,88.06
689,107-DELHI,270383-Mater Dei School,30,134,0,134,0,0,0,0
690,101-HYDERABAD,470002-St. Vincent High School,27,134,134,0,134,0,100,100
691,114-DEHRADUN,340127-Govt. Inter College,30,133,110,23,110,0,82.71,82.71
692,107-DELHI,210667-Nilgiri Hills Public School,29,133,0,133,0,0,0,0
693,118-GANDHINAGAR,"M04025-Don Bosco High School,",32,133,131,2,92,39,98.5,69.17
694,102-PUNE,M11131-DON BOSCO SENIOR SECONDARY SCHOOL,30,132,125,7,118,7,94.7,89.39
695,106-KOCHI,090101-Kendriya Vidyalaya,27,132,132,0,80,52,100,60.61
696,114-DEHRADUN,340084-Maharishi Vidya Mandir,35,132,0,132,0,0,0,0
697,123-GANGTOK,180016-Govt. Senior Secondary School,29,130,95,35,91,4,73.08,70
698,115-BHUBANESWAR,410129-410129-Police High School,27,130,120,10,89,31,92.31,68.46
699,109-JAIPUR,170280-Lovely Diamond Senior Sec.school,32,130,130,0,53,77,100,40.77
700,102-PUNE,"110017-M. G. M. Academy's Junior College of Arts, Commerce & Science",29,130,128,2,128,0,98.46,98.46
701,102-PUNE,M11037-Don Bosco High School Jr.College,37,130,129,1,127,2,99.23,97.69
702,109-JAIPUR,170391-Bal Gopal Sr.Sec. School,26,130,130,0,130,0,100,100
703,110-PATNA,"030258-R.m.k. Inter School,",30,129,125,4,122,3,96.9,94.57
704,102-PUNE,280002-Auxilium High School,28,129,128,1,128,0,99.22,99.22
705,104-GUWAHATI,M02061-Abdul Hasib Higher Secondary School,26,128,128,0,124,4,100,96.88
706,104-GUWAHATI,120028-The Tentha High School,27,128,128,0,126,2,100,98.44
707,111-ALLAHABAD/PRAYAGRAJ,210034-Kendriya Vidyalaya,33,128,128,0,128,0,100,100
708,105-CHANDIGARH,050370-Kalyan Sr.sec. School,28,127,127,0,125,2,100,98.43
709,110-PATNA,030103-Brijishore Dharnighar Rajkiya Balak,27,127,111,16,103,8,87.4,81.1
710,105-CHANDIGARH,050640-Shivalik Sr. Sec. School,27,127,127,0,46,81,100,36.22
711,107-DELHI,270491-Rahul Public School,27,127,110,17,97,13,86.61,76.38
712,109-JAIPUR,170285-Newai Vidyapeeth Sr.sec. School,27,126,110,16,110,0,87.3,87.3
713,104-GUWAHATI,240028-Govt. Secondary School,25,126,124,2,95,29,98.41,75.4
714,115-BHUBANESWAR,410135-410135-AJO HIGH SCHOOL,27,126,126,0,125,1,100,99.21
715,105-CHANDIGARH,050635-The Scholars Public School,32,126,126,0,126,0,100,100
716,114-DEHRADUN,M38160-H.b.h.inter College,32,126,126,0,126,0,100,100
717,105-CHANDIGARH,050583-KAPIL VIDYA MANDIR SR. SEC. SCHOOL,28,126,126,0,50,76,100,39.68
718,110-PATNA,"030325-Mandwari +2 High School,",27,125,125,0,125,0,100,100
719,107-DELHI,210797-Bansraj Model School,29,125,125,0,125,0,100,100
720,117-BENGALURU,M38354-SHAHEEN URDU HIGH SCHOOL,25,125,125,0,125,0,100,100
721,105-CHANDIGARH,J05007-Distt. Jail,23,125,125,0,54,71,100,43.2
722,107-DELHI,050542-Vidya School,25,124,0,124,0,0,0,0
723,121-CHENNAI,M19101-Crescent Matric Hr.sec. School,25,124,124,0,124,0,100,100
724,114-DEHRADUN,210228-Gyandeep Sr.secondary School,26,124,124,0,124,0,100,100
725,110-PATNA,030058-Kendriya Vidyalaya,27,124,124,0,7,117,100,5.65
726,105-CHANDIGARH,050403-Mrcr Public School,31,124,124,0,114,10,100,91.94
727,103-KOLKATA,230004-Government Sr. Secondary School,23,123,99,24,50,49,80.49,40.65
728,118-GANDHINAGAR,390060-Tree House High School,28,123,123,0,121,2,100,98.37
729,118-GANDHINAGAR,390121-Swami Vivekanand Vidhyalaya,27,123,123,0,114,9,100,92.68
730,111-ALLAHABAD/PRAYAGRAJ,210791-K S Pandey Public Academy,28,122,121,1,120,1,99.18,98.36
731,106-KOCHI,M40054-Markazul Uloom English School,25,122,122,0,122,0,100,100
732,107-DELHI,210507-Saraswati Shiksha Niketan Inter College,26,122,65,57,0,65,53.28,0
733,109-JAIPUR,M17117-Children Sr.sec.school,33,122,122,0,110,12,100,90.16
734,110-PATNA,030070-+2 M.l.academy,31,122,118,4,91,27,96.72,74.59
735,107-DELHI,270505-Har Govind Secondary Public School,29,122,122,0,122,0,100,100
736,114-DEHRADUN,340243-Govt. Inter College,28,121,93,28,18,75,76.86,14.88
737,109-JAIPUR,170338-Tagore Public Sr.sec. School,25,120,119,1,68,51,99.17,56.67
738,114-DEHRADUN,340296-Scholar Beam Sr. Sec. School,24,120,116,4,116,0,96.67,96.67
739,106-KOCHI,M09109-St. John's Public School,26,119,119,0,112,7,100,94.12
740,106-KOCHI,M09088-Iqra Islamic Women's College,24,119,119,0,119,0,100,100
741,118-GANDHINAGAR,390074-Nootan Bharti Vidyalaya,22,119,119,0,109,10,100,91.6
742,107-DELHI,050366-C.D. International School,26,119,0,119,0,0,0,0
743,107-DELHI,210441-S. V. Vidya Mandir Inter College,26,119,119,0,111,8,100,93.28
744,109-JAIPUR,170109-K R Adarsh Sr.Sec.School,30,119,118,1,107,11,99.16,89.92
745,107-DELHI,050663-Modish Public School,30,119,0,119,0,0,0,0
746,114-DEHRADUN,340236-M.p. Hindu Inter College,27,119,119,0,119,0,100,100
747,109-JAIPUR,M17270-S.k. Green Wood Shikshan Sansthan,23,119,119,0,113,6,100,94.96
748,105-CHANDIGARH,050632-Divine Light Sr. Sec. School,26,119,119,0,101,18,100,84.87
749,107-DELHI,050053-Bal Vikas High School,29,119,119,0,119,0,100,100
750,107-DELHI,050107-T. T. Public School,24,118,0,118,0,0,0,0
751,107-DELHI,050627-Shivalik Educational Academy,26,118,118,0,93,25,100,78.81
752,114-DEHRADUN,340297-Riverain Public School,27,117,117,0,117,0,100,100
753,109-JAIPUR,170204-Raghuraj Academy,29,117,117,0,117,0,100,100
754,118-GANDHINAGAR,040081-M V S High School,23,117,117,0,76,41,100,64.96
755,107-DELHI,270377-Nav Gian Deep Sr. Sec. Public School,25,117,112,5,83,29,95.73,70.94
756,109-JAIPUR,170144-Tilak Bal Mandir Sr.sec.school,22,117,114,3,97,17,97.44,82.91
757,113-BHOPAL,J10004-Central Jail Bhopal,24,117,109,8,85,24,93.16,72.65
758,105-CHANDIGARH,050128-Nalwa Lovely Public School,26,116,116,0,116,0,100,100
759,107-DELHI,050376-Yadav Academy Public High School,25,116,17,99,0,17,14.66,0
760,107-DELHI,270451-Tulip International School,24,116,0,116,0,0,0,0
761,109-JAIPUR,170062-LBS CONVENT SENIOR SECONDARY SCHOOL,25,116,116,0,113,3,100,97.41
762,121-CHENNAI,190112-B.v.m. Global,25,116,108,8,28,80,93.1,24.14
763,118-GANDHINAGAR,390088-Bansidhar Vidyalaya,27,115,115,0,115,0,100,100
764,121-CHENNAI,190029-Kendriya Vidyalaya,30,115,0,115,0,0,0,0
765,104-GUWAHATI,M02060-Maryam Ajmal Woken's College Of,26,115,115,0,115,0,100,100
766,116-VISAKHAPATNAM,010146-Sri Adithya Junior College,21,114,114,0,114,0,100,100
767,103-KOLKATA,230014-Govt. Model Senior Secondary School,23,114,95,19,0,95,83.33,0
768,118-GANDHINAGAR,390112-Shree Krishna Secondary Higher Secondary School,19,114,112,2,98,14,98.25,85.96
769,114-DEHRADUN,340215-Govt. Inter College,25,114,0,114,0,0,0,0
770,103-KOLKATA,230003-Name 5132,23,113,54,59,1,53,47.79,0.88
771,107-DELHI,270479-P.D. Model Senior Secondary School,24,113,0,113,0,0,0,0
772,114-DEHRADUN,M21488-Jamia Farooquia Azizul Uloom,27,112,112,0,112,0,100,100
773,115-BHUBANESWAR,150171-Centurion University Of Technology,24,112,112,0,91,21,100,81.25
774,111-ALLAHABAD/PRAYAGRAJ,210169-Smt. Ram Katori Varshney Inter,25,112,112,0,112,0,100,100
775,121-CHENNAI,190100-Smt. Narbada Devi J. Agarwal,26,112,112,0,110,2,100,98.21
776,106-KOCHI,090070-Jawahar Navodaya Vidyalaya,25,111,111,0,108,3,100,97.3
777,114-DEHRADUN,210763-M.D International School,23,111,111,0,103,8,100,92.79
778,105-CHANDIGARH,160026-Everest Public Sr. Sec. School,26,110,109,1,46,63,99.09,41.82
779,118-GANDHINAGAR,040041-Kendriya Vidyalaya,22,110,110,0,77,33,100,70
780,104-GUWAHATI,020004-Kamrup Academy Hr. Sec. School,26,110,110,0,81,29,100,73.64
781,105-CHANDIGARH,050378-Navyug Shiksha Niketan Sr.Sec.school,27,110,107,3,42,65,97.27,38.18
782,107-DELHI,270528-Yash Vidya Public School,24,109,92,17,92,0,84.4,84.4
783,107-DELHI,"210335-Moolchand Chauhan Public School,",23,109,109,0,109,0,100,100
784,102-PUNE,M38349-Al Ameen English High School,21,108,87,21,57,30,80.56,52.78
785,123-GANGTOK,180017-Govt. Senior Secondary School,27,108,108,0,100,8,100,92.59
786,105-CHANDIGARH,M16060-Rose Mary Convent School,27,108,108,0,106,2,100,98.15
787,104-GUWAHATI,M02076-SL COLLEGIATE HIGH SCHOOL,27,108,108,0,107,1,100,99.07
788,104-GUWAHATI,020069-Pranab Jubilee College,28,108,107,1,85,22,99.07,78.7
789,114-DEHRADUN,340115-Govt. Inter Mediate College,25,108,0,108,0,0,0,0
790,118-GANDHINAGAR,390059-St. Xavier's Social Service Soceity,21,107,107,0,99,8,100,92.52
791,107-DELHI,270068-Kendriya Vidyalaya,23,107,0,107,0,0,0,0
792,107-DELHI,210710-Dolphin Public School,24,107,107,0,107,0,100,100
793,109-JAIPUR,170400-Subodh Vidya Mandir Sr. Sen School,24,106,106,0,102,4,100,96.23
794,105-CHANDIGARH,160019-S.d.girls Sr. Sec. School,25,106,106,0,106,0,100,100
795,107-DELHI,"270389-B.v.m. Model School,",24,106,99,7,2,97,93.4,1.89
796,103-KOLKATA,220075-Sibpur Ambika Hindi High School,23,106,0,106,0,0,0,0
797,105-CHANDIGARH,160080-Malwa Sr.secondary School,25,106,106,0,106,0,100,100
798,113-BHOPAL,M10091-Maulana Azad Inst. Of Professional,19,105,101,4,56,45,96.19,53.33
799,105-CHANDIGARH,050573-CHARAN SINGH MEMORIAL CONVENT SR. SEC. SCHOOL,21,105,105,0,105,0,100,100
800,107-DELHI,270515-SHAHEED UDHAM SINGH SAMARAK CO-ED SEC. SCHOOL,21,105,105,0,105,0,100,100
801,106-KOCHI,M09073-Mcf Public School,21,105,105,0,105,0,100,100
802,120-RANCHI,260100-Jamshedpur Balika Ucch Vidyalaya,21,105,0,105,0,0,0,0
803,104-GUWAHATI,020050-Jawahar Navodaya Vidyalaya,27,105,105,0,96,9,100,91.43
804,109-JAIPUR,170050-Saraswati Bal Higher Sec. School,21,104,104,0,104,0,100,100
805,117-BENGALURU,M08047-Karunya Independent Pu College,20,104,104,0,84,20,100,80.77
806,107-DELHI,210243-Anamika Girls Hr. Sec. School,20,104,104,0,104,0,100,100
807,110-PATNA,"030288-B.n.collegiate School,",24,104,75,29,12,63,72.12,11.54
808,104-GUWAHATI,120023-Sentinel College,21,104,104,0,101,3,100,97.12
809,123-GANGTOK,180009-Govt. Senior Secondary School,23,104,104,0,104,0,100,100
810,118-GANDHINAGAR,040093-Sanskartirth Gyanpeeth,23,104,104,0,99,5,100,95.19
811,114-DEHRADUN,340117-Swatantrata Sangram Senani Shaheed,22,104,104,0,103,1,100,99.04
812,109-JAIPUR,170398-Bhairav Public Sr. Sec. School,21,103,103,0,82,21,100,79.61
813,105-CHANDIGARH,050215-Holy Heart Sec School,21,103,102,1,26,76,99.03,25.24
814,105-CHANDIGARH,050589-Modern Hind Sr. Sec. School,23,103,103,0,43,60,100,41.75
815,102-PUNE,110126-SAILEE INTERNATIONAL SCHOOL  & JUNIOR COLLEGE,24,103,103,0,99,4,100,96.12
816,114-DEHRADUN,V34001-Doon Vadic Shiksha Samiti,21,103,32,71,29,3,31.07,28.16
817,106-KOCHI,"400001-Progressive English School,",20,102,102,0,25,77,100,24.51
818,114-DEHRADUN,340190-Shri Ravi Dutt Bahuguna High School,22,102,102,0,102,0,100,100
819,107-DELHI,050212-Bhartiya Vidya Niketan Sr.s.school,23,102,0,102,0,0,0,0
820,105-CHANDIGARH,160108-Fortune Convent Sr. Sec. School,22,102,101,1,101,0,99.02,99.02
821,109-JAIPUR,170086-Adarsh Jyoti Vidya Peeth,23,101,101,0,86,15,100,85.15
822,108-ABROAD/NIOS HQ,950028-Kuwait Educational Centre,25,101,0,101,0,0,0,0
823,120-RANCHI,"260067-D.a.v. Model School,",23,101,101,0,76,25,100,75.25
824,109-JAIPUR,170438-Shri Ravinder Nath Tagore Sr. Sec. School,23,101,101,0,90,11,100,89.11
825,107-DELHI,270458-Heera Lal Public School,19,101,0,101,0,0,0,0
826,104-GUWAHATI,300001-Madonna Education Centre,23,101,99,2,74,25,98.02,73.27
827,109-JAIPUR,170330-Vivekanand Senior Secondary School,23,101,101,0,100,1,100,99.01
828,102-PUNE,110077-Sri Ma Vidyalaya Patilpada,32,101,97,4,95,2,96.04,94.06
829,118-GANDHINAGAR,390127-Adwait Vidyamandir Jasara,18,100,100,0,93,7,100,93
830,111-ALLAHABAD/PRAYAGRAJ,M21474-Shuaib Mohammedia Anglo Oriental,26,100,90,10,48,42,90,48
831,125-JAMMU,070054-Prashant Public High School,23,100,100,0,100,0,100,100
832,114-DEHRADUN,340124-A.n. Jha Govt. Inter College,23,100,0,100,0,0,0,0
833,104-GUWAHATI,M02063-Durabandhi Secondary School,25,100,100,0,100,0,100,100
834,103-KOLKATA,220127-Pearl Rosary School (New),20,100,100,0,73,27,100,73
835,107-DELHI,270543-Himalaya Public Sr. Secondary School,20,99,0,99,0,0,0,0
836,107-DELHI,M27233-Baba Banda Singh Memo. Sec. School,18,99,0,99,0,0,0,0
837,106-KOCHI,400062-Vimla Hridya Icse School,20,99,99,0,98,1,100,98.99
838,125-JAMMU,070001-Presentation Convent High School,23,99,79,20,43,36,79.8,43.43
839,105-CHANDIGARH,050619-Oxford Public School,22,99,97,2,14,83,97.98,14.14
840,102-PUNE,110012-Sandesh Vidyalaya College Of Arts,21,99,99,0,99,0,100,100
841,114-DEHRADUN,340227-Govt. Inter College,21,99,99,0,99,0,100,100
842,115-BHUBANESWAR,410121-Kendriya Vidyalaya,21,99,93,6,54,39,93.94,54.55
843,118-GANDHINAGAR,390108-P R Mukhi Sec. & Hr. Sec. School,21,98,98,0,73,25,100,74.49
844,114-DEHRADUN,340257-Govt. Inter College,21,98,0,98,0,0,0,0
845,107-DELHI,270417-Navyug Convent School,21,97,97,0,97,0,100,100
846,107-DELHI,270492-Adarsh GyanSarover Balika Vidyalaya,21,97,97,0,90,7,100,92.78
847,107-DELHI,"450077-DEEPALAYA Y/4A,",20,97,0,97,0,0,0,0
848,107-DELHI,210771-Diamond Public School,19,97,96,1,77,19,98.97,79.38
849,105-CHANDIGARH,050522-Guru Nanak Sr.Sec.School,21,97,97,0,64,33,100,65.98
850,105-CHANDIGARH,J05004-District Jail,19,97,97,0,28,69,100,28.87
851,115-BHUBANESWAR,410119-The Assembly Of God School,17,96,96,0,53,43,100,55.21
852,105-CHANDIGARH,050662-Indus Public School,22,96,96,0,69,27,100,71.88
853,109-JAIPUR,170430-Gayatri Sr. Sec. School,21,96,94,2,55,39,97.92,57.29
854,107-DELHI,210671-Konark Public School,21,96,0,96,0,0,0,0
855,106-KOCHI,400053-Kendriya Vidyalaya,20,96,96,0,96,0,100,100
856,102-PUNE,110145-Akshara International School,29,96,94,2,46,48,97.92,47.92
857,115-BHUBANESWAR,T15010-Centurian Private ITI,48,96,96,0,75,21,100,78.13
858,103-KOLKATA,220048-Kendriya Vidyalaya No. 2,22,96,96,0,96,0,100,100
859,114-DEHRADUN,M34252-Jamia Islahul Banaat,16,95,82,13,75,7,86.32,78.95
860,104-GUWAHATI,020039-Kendriya Vidyalaya,25,95,92,3,66,26,96.84,69.47
861,125-JAMMU,380108-Govt. Boys Higher Secondary School,21,95,95,0,88,7,100,92.63
862,118-GANDHINAGAR,040007-Tree House High School,21,95,95,0,60,35,100,63.16
863,107-DELHI,270260-Sant Hari Dass Public School,23,95,1,94,0,1,1.05,0
864,106-KOCHI,M40063-Mao Higher Secondary School Elayur,27,95,95,0,95,0,100,100
865,101-HYDERABAD,"370109-T.s.w.r.school Jr.college(g),",19,95,95,0,95,0,100,100
866,106-KOCHI,400043-Kendriya Vidyalaya No-2,19,95,95,0,95,0,100,100
867,114-DEHRADUN,340303-North Point Children's Academy,20,95,95,0,93,2,100,97.89
868,105-CHANDIGARH,050440-K.n.senior Secondary School,21,94,94,0,94,0,100,100
869,121-CHENNAI,190027-The Vikasa School,20,94,89,5,59,30,94.68,62.77
870,107-DELHI,270490-Hansraj Model School,20,94,94,0,94,0,100,100
871,106-KOCHI,400046-Kendriya Vidyalaya No-1,21,94,94,0,80,14,100,85.11
872,107-DELHI,270546-N L Public School,21,94,94,0,94,0,100,100
873,125-JAMMU,070002-Kendriya Vidyalaya No.1,23,93,22,71,13,9,23.66,13.98
874,104-GUWAHATI,300019-Govt. Higher Secondary School,22,93,84,9,84,0,90.32,90.32
875,118-GANDHINAGAR,"040013-Seth C.l. Hindi High School,",24,93,93,0,78,15,100,83.87
876,107-DELHI,270538-Rama Public School,19,93,90,3,88,2,96.77,94.62
877,107-DELHI,270525-G R M Public School,18,93,61,32,44,17,65.59,47.31
878,107-DELHI,270460-New Sandhya Public School,19,93,72,21,72,0,77.42,77.42
879,103-KOLKATA,220017-Shree Jain Shilpa Shiksha Kendra,18,93,8,85,8,0,8.6,8.6
880,109-JAIPUR,170358-Kids Club School,23,93,93,0,71,22,100,76.34
881,109-JAIPUR,M38350-Al Suffah Academy Public School,23,92,92,0,92,0,100,100
882,107-DELHI,210595-Unique International Public School,20,92,92,0,82,10,100,89.13
883,114-DEHRADUN,210438-Tagore Vidya Peeth Inter College,20,92,92,0,92,0,100,100
884,120-RANCHI,260084-Vimla Pandey Memorial Gyan Niketan,18,92,92,0,5,87,100,5.43
885,105-CHANDIGARH,M05113-G.t.b. Bal Vidya Mandir Sr.s.school,18,91,91,0,76,15,100,83.52
886,114-DEHRADUN,340286-Aryan Vidya Mandir,24,91,91,0,90,1,100,98.9
887,109-JAIPUR,170167-Govt. Higher Secondary School,20,91,81,10,36,45,89.01,39.56
888,114-DEHRADUN,210672-Dev Krishna Public School,19,91,90,1,77,13,98.9,84.62
889,114-DEHRADUN,340171-City Public Inter College,25,91,83,8,83,0,91.21,91.21
890,109-JAIPUR,M17262-Khawaja Model School,18,90,85,5,73,12,94.44,81.11
891,118-GANDHINAGAR,M04016-St. Xavier's High School,21,90,90,0,68,22,100,75.56
892,121-CHENNAI,190022-The Gandhi Gram Rural Institute,19,90,88,2,77,11,97.78,85.56
893,105-CHANDIGARH,050148-Saraswati Vidya Mandir High School,19,90,90,0,90,0,100,100
894,114-DEHRADUN,210804-Paramount Public School,20,89,89,0,89,0,100,100
895,118-GANDHINAGAR,040058-Nib School Of Science,17,89,89,0,64,25,100,71.91
896,105-CHANDIGARH,160137-Paragon Sr. Sec. School,20,89,89,0,33,56,100,37.08
897,115-BHUBANESWAR,410140-Jawahar  Navodaya Vidyalaya,21,88,85,3,59,26,96.59,67.05
898,111-ALLAHABAD/PRAYAGRAJ,210658-Kalawati Inter College,23,88,88,0,72,16,100,81.82
899,117-BENGALURU,080071-Patel Pre-University College,19,88,88,0,43,45,100,48.86
900,114-DEHRADUN,340298-Adarsh Inter College,20,88,0,88,0,0,0,0
901,102-PUNE,M11084-Sir Sayyad English High School,18,88,88,0,88,0,100,100
902,105-CHANDIGARH,160141-Shri Deshmesh Public Sr.Sec.School,17,88,88,0,62,26,100,70.45
903,109-JAIPUR,"170200-Govt. Hr. Sec. School, Chittorgarh",18,88,83,5,26,57,94.32,29.55
904,107-DELHI,270503-GYAN SAROVER SEC. BAL VIDYALAYA,21,88,88,0,88,0,100,100
905,104-GUWAHATI,020024-Kendriya Vidyalaya,21,88,88,0,88,0,100,100
906,114-DEHRADUN,M21354-Ahmed Saeed Khan Rifahe Aam Inter,20,88,88,0,72,16,100,81.82
907,107-DELHI,270269-Happy Senior School,22,87,84,3,31,53,96.55,35.63
908,106-KOCHI,400028-Sree Valluvanad Vidya Bhavan,19,87,87,0,84,3,100,96.55
909,114-DEHRADUN,210251-Agroha Shiksha Niketan Inter,19,87,0,87,0,0,0,0
910,119-RAIPUR,290094-Govt. Boys Higher Secondary School,18,87,58,29,21,37,66.67,24.14
911,118-GANDHINAGAR,040001-St.xavier's Social Service Society,20,87,86,1,60,26,98.85,68.97
912,115-BHUBANESWAR,410138-410138-BRAJENDRA HIGH SCHOOL,18,86,85,1,56,29,98.84,65.12
913,103-KOLKATA,220033-Kendriya Vidyalaya,23,86,86,0,53,33,100,61.63
914,111-ALLAHABAD/PRAYAGRAJ,210172-Gayatri Samarak Public School,17,86,85,1,83,2,98.84,96.51
