SRNO,REGIONAL CENTRE,AI-CODE AND NAME,TOTAL STUDENTS UPLOADED TMA,TOTAL TMA UPLOADED,TOTAL ALLOCATED SUBJECTS,TOTAL UN-ALLOCATED SUBJECTS,TOTAL EVALUATED SUBJECTS,TOTAL ALLOCATED UN-EVALUATED SUBJECTS,PRE-ALLOCATED,PRE-EVALUATED
444,114-DEHRADUN,340118-Govt. Inter College Champawat,54,253,253,0,253,0,100,100
445,118-GANDHINAGAR,390104-PRAGATI GIRLS HIGH SCHOOL,60,253,253,0,160,93,100,63.24
446,104-GUWAHATI,"M14017-St. Peter's School,",56,253,253,0,246,7,100,97.23
447,104-GUWAHATI,020007-Kendriya Vidyalaya,53,250,250,0,159,91,100,63.6
448,117-BENGALURU,M08049-Delhi Public School,68,249,248,1,195,53,99.6,78.31
449,120-RANCHI,260097-+2 Zila School,50,249,249,0,249,0,100,100
450,106-KOCHI,090102-Kendriya Vidyalaya,52,249,249,0,249,0,100,100
451,104-GUWAHATI,240026-ZENITH CHILD SCHOOL,58,248,246,2,197,49,99.19,79.44
452,104-GUWAHATI,020038-Kendriya Vidyalaya,57,247,245,2,165,80,99.19,66.8
453,114-DEHRADUN,210586-Lakshya Public School,50,246,246,0,240,6,100,97.56
454,115-BHUBANESWAR,410127-Centurion University Of Technology,43,244,244,0,229,15,100,93.85
455,101-HYDERABAD,"470011-T.s.w.rschool Jr.college(b),",51,243,243,0,243,0,100,100
456,109-JAIPUR,"170060-H.r. Memorial Public School,",50,243,243,0,242,1,100,99.59
457,109-JAIPUR,170265-M.d.bhati Saraswati Niketan,51,242,242,0,242,0,100,100
458,109-JAIPUR,170333-Neha Public Sr.sec. School,48,242,242,0,237,5,100,97.93
459,107-DELHI,270381-Saraswati Public Secondary School,54,241,241,0,241,0,100,100
460,114-DEHRADUN,340199-Govt. Inter College,51,241,241,0,241,0,100,100
461,114-DEHRADUN,340321-Subhash Smarak Inter College,49,241,241,0,241,0,100,100
462,114-DEHRADUN,M34253-Madarsa Maulana Abul Kalam Azad,45,240,240,0,240,0,100,100
